도서관 목록,,,,,,,,,
번호,구분,지역,시군구,도서관명,도서관부호,도서관코드
304,공공(일반),광주,서구,2015,,,상록도서관,129222,2060124013
305,공공(일반),광주,서구,2001,,,광주학생교육문화회관,124011,2050124004
306,공공(일반),광주,광산구,2014,,,장덕도서관,129190,2060124012
307,공공(일반),광주,광산구,2001,,,신가도서관,129001,2060124006
308,공공(일반),광주,광산구,1990,,,광주송정도서관,124001,2050124005
309,공공(일반),광주,광산구,2016,,,이야기꽃도서관,129223,2060124014
310,공공(일반),대전,동구,2001,,,가양도서관,125012,2060125006
311,공공(일반),대전,동구,2004,,,대전동구성남도서관,130003,2060125003
312,공공(일반),대전,중구,2002,,,대전학생교육문화원 부설 산성도서관,125001,2050125002
313,공공(일반),대전,중구,1988,,,대전학생교육문화원,125002,2050125001
314,공공(일반),대전,서구,2000,,,가수원도서관,125010,2060125008
315,공공(일반),대전,서구,1994,,,대전서구갈마도서관,125004,2060125007
316,공공(일반),대전,유성구,2010,,,노은도서관,130012,2060125019
317,공공(일반),대전,유성구,1994,,,유성도서관,125007,2060125009
318,공공(일반),대전,유성구,2015,,,관평도서관,130023,2060125023
319,공공(일반),대전,유성구,1999,2010,,진잠도서관,130010,2060125010
320,공공(일반),대전,유성구,2010,,,진잠도서관,130010,2060125021
321,공공(일반),대전,대덕구,2002,,,신탄진도서관,125011,2060125013
322,공공(일반),대전,유성구,2003,,,구즉도서관,125013,2060125011
323,공공(일반),대전,유성구,2013,,,구암도서관,130022,2060125022
324,공공(일반),대전,유성구,2019,,,원신흥도서관,130026,2060125024
325,공공(일반),대전,대덕구,1994,,,안산도서관,125005,2060125012
326,공공(일반),대전,대덕구,2010,,,송촌도서관,130013,2060125020
327,공공(일반),대전,동구,1994,,,대전동구용운도서관,143064,2060125002
328,공공(일반),대전,동구,2009,,,홍도도서관,130009,2060125016
329,공공(일반),대전,동구,2009,,,자양도서관,130008,2060125015
331,공공(일반),대전,동구,2004,,,대전동구판암도서관,130004,2060125005
332,공공(일반),대전,동구,1996,,,대전동구가오도서관,125008,2060125004
333,공공(일반),대전,중구,1989,,,한밭도서관,125003,2060125001
334,공공(일반),대전,서구,2007,,,대전 서구 둔산도서관,130006,2060125014
335,공공(일반),대전,서구,2019,,,월평도서관,130028,2060125025
336,공공(일반),울산,동구,1992,,,울산동부도서관,148015,2050131003
337,공공(일반),울산,북구,2005,,,농소3동도서관,131003,2060131001
338,공공(일반),울산,북구,2017,,,매곡도서관,131079,2060131011
339,공공(일반),울산,북구,2006,,,농소1동도서관,131001,2060131002
340,공공(일반),울산,북구,2008,,,울산북구중앙도서관,131005,2060131004
341,공공(일반),울산,중구,2014,,,약숫골도서관,131076,2060131009
342,공공(일반),울산,중구,1984,,,울산중부도서관,148017,2050131001
343,공공(일반),울산,남구,2013,,,신복도서관,131072,2060131007
344,공공(일반),울산,남구,1989,,,울산남부도서관,148014,2050131002
345,공공(일반),울산,남구,2018,,,울산도서관,131080,2060131012
346,공공(일반),울산,울주군,2014,,,울주선바위도서관,131073,2060131008
347,공공(일반),울산,울주군,2019,,,울주천상도서관,131081,2060131013
348,공공(일반),울산,울주군,1991,,,울주도서관,148018,2050131004
349,공공(일반),울산,울주군,2007,,,울주옹기종기도서관,131004,2060131003
350,공공(일반),울산,남구,2010,,,도산도서관,131017,2060131005
351,공공(일반),울산,북구,2010,,,염포양정도서관,131019,2060131006
352,공공(일반),울산,울주군,2014,2019,없음,울주문화예술회관 도서관,131014,2060131010
353,공공(일반),세종,-,2018,,,고운동도서관,150004,2060132008
354,공공(일반),세종,-,2019,,,고운남측도서관,150009,2060132010
355,공공(일반),세종,-,2016,,,종촌동도서관,150003,2060132004
356,공공(일반),세종,-,2018,,,새롬동도서관,150008,2060132006
357,공공(일반),세종,-,2018,,,보람동도서관,150005,2060132007
358,공공(일반),세종,-,2018,,,소담동도서관,150010,2060132009
359,공공(일반),세종,-,2018,,,대평동도서관,150007,2060132005
360,공공(일반),세종,연기군,2014,,,도담동도서관,150001,2060132002
361,공공(일반),세종,연기군,2015,,,아름동도서관,150002,2060132003
362,공공(일반),세종,연기군,2014,,,한솔동도서관,144146,2060132001
363,공공(일반),세종,연기군,1991,,,세종특별자치시평생교육학습관,144011,2050144011
364,공공(일반),경기,김포시,2009,,,김포시통진도서관,141169,2060141104
365,공공(일반),경기,김포시,2012,,,김포시양곡도서관,141404,2060141132
366,공공(일반),경기,김포시,2019,,,김포시장기도서관,141593,2060141223
367,공공(일반),경기,김포시,1998,,,김포시중봉도서관,141057,2060141047
368,공공(일반),경기,김포시,1985,,,경기김포교육도서관,141006,2050141003
369,공공(일반),경기,김포시,2019,,,김포시풍무도서관,141606,2060141232
370,공공(일반),경기,김포시,2018,,,김포시고촌도서관,141591,2060141216
371,공공(일반),경기,고양시,2016,,,가좌도서관,141574,2060141196
372,공공(일반),경기,고양시,2008,,,한뫼도서관,141140,2060141087
373,공공(일반),경기,고양시,2007,,,아람누리도서관,141123,2060141059
374,공공(일반),경기,고양시,2003,,,화정도서관,141072,2060141062
375,공공(일반),경기,파주시,2018,,,파평도서관,141602,2060141221
376,공공(일반),경기,파주시,1994,,,파주시립문산도서관,141041,2060141072
377,공공(일반),경기,파주시,2012,,,금촌3동솔빛도서관,141587,2060141127
378,공공(일반),경기,파주시,2016,,,탄현도서관,141566,2060141204
